,אזור המכירה:,בעלות נוכחית,בעלות קודמת,זיהום מירבי,טסט עד,יד,מוכן להחלפה,מותאם לנכים,סוג,סוג מנוע,סמ״ק,צבע,קילומטראז',שנה,תאריך עליה לכביש,תיבת הילוכים,שם הסוכנות:,מחיר
168,הרצליה,פרטית,,14,04/2022,0,לא,לא,רנו קליאו דור 4 (2013-2019),בנזין,1197,לבן פנינה,,2015,04/2015,אוטומט,אופרייט,
169,כרמיאל,פרטית,ליסינג,14,02/2022,2,לא,לא,סקודה אוקטביה,בנזין,1390,כסוף,"208,000",2013,02/2013,אוטומט,"א-מיל טכנולוגיות סחר והשקעות בע""מ",
170,ראשון לציון,ליסינג,,8,01/2022,1,כן,לא,הונדה סיוויק סדאן החדשה,בנזין,1597,לבן,"16,000",2019,01/2019,אוטומט,אופרייט,
171,כפר יונה,פרטית,השכרה,3,08/2022,2,כן,לא,קיה פיקנטו,בנזין,1248,לבן,"198,000",2013,08/2013,אוטומט,מוטודיל,
172,ראשון לציון,פרטית,,15,11/2022,1,לא,לא,אינפיניטי Q50,בנזין,2997,אפור מטאלי,"46,000",2017,11/2017,אוטומט,אינפיניטי טרייד אין,
173,באר שבע,פרטית,,2,01/2022,1,כן,לא,אאודי Q7,היברידי חשמל / דיזל,2967,לבן מטאלי,"75,000",2019,02/2019,אוטומט,"י.ב.ב שרותי ניהול בע""מ",
174,פתח תקווה,פרטית,,14,01/2022,1,כן,לא,אינפיניטי Q50,בנזין,1991,לבן פנינה,"85,000",2019,01/2019,אוטומט,לובינסקי טרייד,
175,ראשון לציון,פרטית,ליסינג,12,11/2022,2,כן,לא,יונדאי i30CW,בנזין,1591,כחול בהיר מטאלי,"102,000",2016,11/2016,אוטומט,נדב חן שלם,
176,כרמיאל,ליסינג,,7,03/2022,1,כן,לא,רנו מגאן גראנד קופה,דיזל,1461,לבן,"109,239",2018,03/2018,אוטומט,אופרייט,
177,פתח תקווה,פרטית,פרטית,4,04/2022,3,לא,לא,יונדאי i10,בנזין,998,שחור,"158,000",2014,04/2014,אוטומט,עמית תבור,
178,פתח תקווה,פרטית,,1,03/2022,1,לא,לא,ב.מ.וו i3,חשמלי,,אפור,"46,020",2017,03/2017,אוטומט,כלמוביל טרייד אין,
179,תל מונד,פרטית,,14,10/2022,1,לא,לא,ניסאן אקס טרייל,דיזל,1598,כסוף מטאלי,"50,000",2018,10/2018,אוטומט,"א.ס. פרסטיג' קאר סרוויס בע""מ",
180,כל הארץ,חברה,חברה,1,,2,כן,לא,ב.מ.וו i3,חשמלי,1,כחול מטאלי,"74,000",2016,,אוטומט,ביי אנד דרייב,
181,ראש פינה,פרטית,פרטית,10,03/2023,2,לא,כן,סקודה קארוק,בנזין,1498,שחור,"45,000",2018,08/2018,אוטומט,,
182,ירושלים,פרטית,פרטית,12,03/2022,2,לא,לא,ניסאן קשקאי,בנזין,1197,לבן מטאלי,"64,611",2017,03/2017,אוטומט,,
183,חיפה,פרטית,,3,02/2022,1,לא,לא,מרצדס GLE,היברידי חשמל / בנזין,2996,לבן,"116,000",2017,02/2017,אוטומט,,
184,נצרת עילית / נוף הגליל,פרטית,פרטית,NaN,,3,לא,לא,ג'יפ / Jeep גרנד צ'ירוקי,בנזין,3604,שחור,"120,000",2014,09/2014,אוטומט,,
185,שדרות,פרטית,פרטית,15,04/2022,3,לא,לא,סקודה קארוק,דיזל,1968,אפור מטאלי,"57,500",2019,04/2019,אוטומט,,
186,ירושלים,פרטית,,13,07/2023,1,לא,לא,סיטרואן C5 איירקרוס,בנזין,1598,שחור מטאלי,"43,000",2020,07/2020,אוטומט,,
187,נהריה,פרטית,,10,07/2024,1,לא,לא,לקסוס NX,בנזין,2494,פלטינה,"20,000",2021,07/2021,אוטומט,,
188,קדימה צורן,פרטית,,NaN,,1,לא,לא,ג'יפ / Jeep גרנד צ'ירוקי,בנזין,3604,אפור עכבר,"30,200",2020,01/2020,אוטומט,,
189,ראשון לציון,פרטית,,12,01/2022,1,לא,לא,ניסאן קשקאי,בנזין,1197,לבן פנינה,"16,000",2019,01/2019,אוטומט,,
190,עפולה,פרטית,פרטית,15,01/2023,2,לא,לא,ב.מ.וו X5,חשמלי,,לבן פנינה,"14,000",2021,02/2021,אוטומט,,
191,יבנה,פרטית,,2,09/2023,1,לא,לא,וולוו XC90,היברידי חשמל / בנזין,1969,בז' מטאלי,"25,300",2020,09/2020,אוטומט,,
192,דימונה,פרטית,,12,07/2022,1,לא,לא,דאצ'יה דאסטר החדש,דיזל,1461,אפור מטאלי,"97,000",2018,08/2018,אוטומט,,
193,כפר מנדא,פרטית,,15,05/2024,1,לא,לא,לנד רובר דיסקברי 5,דיזל,2997,לבן מטאלי,"10,000",2021,05/2021,אוטומט,,
194,הרצליה,פרטית,,15,12/2023,1,לא,לא,שברולט אורלנדו,בנזין,1362,לבן מטאלי,"74,000",2014,,אוטומט,...,
195,גדרה,פרטית,פרטית,15,01/2022,2,לא,לא,קיה ספורטז',בנזין,1591,לבן,"119,000",2016,01/2016,אוטומט,,
196,תל אביב יפו,פרטית,פרטית,NaN,10/2022,2,לא,לא,וולוו XC90,היברידי חשמל / בנזין,1969,שחור,"49,000",2017,11/2017,אוטומט,,
197,ירושלים,פרטית,פרטית,15,,2,לא,כן,אאודי Q7,בנזין,2995,לבן,"100,000",2013,,אוטומט,,
198,חולון,פרטית,פרטית,15,05/2022,2,לא,לא,ב.מ.וו X3,בנזין,1997,לבן פנינה,"129,000",2017,05/2017,אוטומט,,
199,נתניה,פרטית,פרטית,15,05/2022,2,לא,לא,לנד רובר ריינג' רובר ספורט,דיזל,2993,לבן,"78,000",2016,05/2016,אוטומט,,
200,כפר יונה,פרטית,השכרה,3,08/2022,2,כן,לא,קיה פיקנטו,בנזין,1248,לבן,"198,000",2013,08/2013,אוטומט,מוטודיל,
201,רעננה,פרטית,,12,,1,לא,לא,מאזדה 3,בנזין,1998,לבן,"35,000",2019,01/2019,אוטומט,טופ טרייד,
202,באר שבע,פרטית,,2,01/2022,1,כן,לא,אאודי Q7,היברידי חשמל / דיזל,2967,לבן מטאלי,"75,000",2019,02/2019,אוטומט,"י.ב.ב שרותי ניהול בע""מ",
203,כל הארץ,השכרה,,5,,1,כן,לא,מאזדה 2,בנזין,1500,כסוף,"57,964",2019,,אוטומט,באדג'ט מכירת רכב,
204,ראשון לציון,פרטית,ליסינג,12,11/2022,2,כן,לא,יונדאי i30CW,בנזין,1591,כחול בהיר מטאלי,"102,000",2016,11/2016,אוטומט,נדב חן שלם,
205,רעננה,פרטית,ייבוא מקביל,2,04/2022,2,לא,לא,ב.מ.וו סדרה 7,היברידי חשמל / בנזין,1998,אפור מטאלי,"70,000",2019,03/2019,אוטומט,טופ טרייד,
206,פתח תקווה,פרטית,פרטית,4,04/2022,3,לא,לא,יונדאי i10,בנזין,998,שחור,"158,000",2014,04/2014,אוטומט,עמית תבור,
207,כל הארץ,ליסינג,,14,,1,כן,לא,יונדאי i25,בנזין,1400,לבן,"98,475",2018,,אוטומט,באדג'ט מכירת רכב,
208,תל מונד,פרטית,,14,10/2022,1,לא,לא,ניסאן אקס טרייל,דיזל,1598,כסוף מטאלי,"50,000",2018,10/2018,אוטומט,"א.ס. פרסטיג' קאר סרוויס בע""מ",
209,חדרה,ליסינג,,3,08/2022,1,לא,לא,קיה נירו הייבריד,בנזין,1580,אפור,"92,000",2017,08/2017,אוטומט,אופרייט,
210,תל אביב יפו,פרטית,,3,01/2022,1,כן,לא,ב.מ.וו X5,היברידי חשמל / בנזין,1997,בז' מטאלי,"109,000",2017,01/2017,אוטומט,אוטו חי - יוסי חזן בעמ,
211,ראשון לציון,פרטית,,15,08/2022,0,כן,לא,פורד מוסטנג,בנזין,2261,לבן,,2021,08/2021,אוטומט,אוטומקס,
212,נתניה,פרטית,,14,04/2022,1,כן,לא,ניסאן אקס טרייל,דיזל,1598,שחור מטאלי,"152,600",2016,04/2016,אוטומט,aviv,
213,פתח תקווה,פרטית,,NaN,03/2022,1,כן,לא,יונדאי i20,בנזין,1368,שחור,"63,901",2015,03/2015,אוטומט,טרייד מוביל,
214,ראשון לציון,פרטית,ליסינג,14,07/2022,2,כן,לא,יונדאי i35,בנזין,1591,שחור מטאלי,"119,000",2015,07/2015,אוטומט,car4life,
215,רעננה,פרטית,,12,01/2023,1,לא,לא,מאזדה 3,בנזין,1496,כסוף,"21,000",2019,01/2019,אוטומט,טופ טרייד,
216,אשדוד,ייבוא מקביל,,2,01/2023,1,כן,לא,מרצדס E-Class,היברידי חשמל / בנזין,1991,לבן,,2022,,אוטומט,טל מרצי רכבי יוקרה,
217,ראשון לציון,פרטית,,14,06/2022,1,כן,לא,ניסאן ג'וק / Juke,בנזין,1598,שחור מטאלי,"70,342",2012,06/2012,אוטומט,טרייד מוביל,
218,אור עקיבא,פרטית,פרטית,15,01/2022,3,כן,לא,אאודי Q5,בנזין,1984,לבן מטאלי,"216,000",2013,01/2013,אוטומט,,
219,באקה אל ע'רביה,פרטית,,2,05/2022,1,לא,לא,אופל גרנדלנד X,היברידי חשמל / בנזין,1598,כחול מטאלי,"12,500",2021,05/2021,אוטומט,,
220,רחובות,פרטית,פרטית,14,11/2022,4,לא,לא,דאצ'יה דאסטר,בנזין,1197,לבן,"124,000",2015,11/2015,ידנית,,
221,תל אביב יפו,פרטית,,1,01/2023,1,לא,לא,אאודי E-tron,חשמלי,,לבן פנינה,"38,000",2020,01/2020,אוטומט,,
222,ראשון לציון,פרטית,פרטית,15,02/2022,2,לא,לא,לנד רובר דיסקברי 5,דיזל,1999,לבן,"47,200",2020,02/2020,אוטומט,,
223,עכו,פרטית,פרטית,15,12/2022,2,לא,לא,מרצדס GLK Class,בנזין,2996,שחור,"110,000",2011,11/2011,אוטומט,,
224,שדה משה,פרטית,פרטית,15,02/2022,4,לא,לא,מרצדס GLA,בנזין,1991,שחור מטאלי,"62,000",2018,01/2018,אוטומט,,
225,פתח תקווה,פרטית,,15,05/2022,1,לא,לא,קיה סורנטו,בנזין,2359,שחור מטאלי,"48,500",2018,05/2018,אוטומט,,
226,ראשון לציון,פרטית,פרטית,15,09/2022,2,לא,לא,אאודי Q5,בנזין,1984,לבן,"79,000",2016,09/2016,אוטומט,,
227,עפולה,פרטית,פרטית,15,,2,לא,לא,קיה סורנטו,בנזין,2359,לבן פנינה,"20,000",2020,04/2020,אוטומט,,
228,ירושלים,מונית,פרטית,15,07/2022,3,לא,לא,מרצדס V-Class,דיזל,2143,לבן,"255,000",2016,11/2016,אוטומט,,
229,ראשון לציון,פרטית,פרטית,14,08/2022,2,לא,לא,רנו קליאו דור 4 (2013-2019),בנזין,1618,כסוף מטאלי,"100,000",2015,08/2015,אוטומט,,
230,אום אל פחם,פרטית,,15,07/2022,1,לא,לא,שברולט קאמארו,בנזין,3638,אפור,"38,000",2020,07/2020,אוטומט,,
231,חדרה,ליסינג,,2,09/2022,1,כן,לא,יונדאי איוניק,בנזין,1580,לבן,"125,000",2018,09/2018,אוטומט,כפיר עסקי רכב,
232,נצרת,פרטית,,10,10/2022,1,לא,לא,פולקסווגן פאסאט,בנזין,1984,לבן,"19,000",2020,10/2020,אוטומט,,
233,קרית גת,פרטית,פרטית,14,11/2022,3,כן,לא,מרצדס C-Class Taxi,דיזל,2143,זהב מטאלי,"360,000",2014,10/2014,אוטומט,,
234,רמת גן,פרטית,ליסינג,14,01/2022,2,לא,לא,פורד פוקוס,בנזין,1596,כסוף,"174,000",2013,01/2013,אוטומט,,
235,תל אביב יפו,פרטית,פרטית,7,04/2022,2,כן,לא,פיג'ו 208,בנזין,1199,לבן,"159,000",2015,11/2015,ידנית,,
236,הרצליה,פרטית,,15,02/2022,1,לא,לא,מזראטי גיבלי,בנזין,2979,שחור מטאלי,"150,000",2018,02/2018,אוטומט,,
237,פתח תקווה,פרטית,,15,,1,כן,לא,אאודי Q8,דיזל,2967,לבן פנינה,"17,000",2020,01/2020,אוטומט,"חברת המזרח לשיווק מכוניות (1994) בע""מ",
238,רעננה,פרטית,ליסינג,5,01/2023,2,לא,לא,מאזדה 2,בנזין,1496,אפור,"49,000",2019,01/2019,אוטומט,טופ טרייד,
239,טמרה,פרטית,פרטית,15,03/2022,2,כן,לא,שברולט קאמארו,בנזין,3649,סגול,"90,000",2017,03/2017,אוטומט,רכב מהדי,
240,אשדוד,ליסינג,,2,03/2022,1,לא,לא,יונדאי איוניק,בנזין,1580,כסוף,"130,000",2019,03/2019,אוטומט,אופרייט,
241,גבעתיים,פרטית,,11,05/2022,1,לא,לא,טויוטה קורולה,בנזין,1598,שחור,"47,000",2018,05/2018,אוטומט,לינה,
242,חדרה,ליסינג,,7,01/2023,1,לא,לא,רנו מגאן אסטייט/ גראנד טור,דיזל,1461,אפור מטאלי,"92,900",2019,01/2019,אוטומט,אופרייט,
243,אשקלון,פרטית,,12,,1,כן,לא,מרצדס E-Class,היברידי חשמל / בנזין,1991,אפור,"49,000",2020,,אוטומט,show cars,
244,תל אביב יפו,פרטית,,1,04/2022,0,כן,לא,מרצדס A-Class,בנזין,1332,לבן,,2021,04/2021,אוטומט,טרייד מוביל,
245,חולון,פרטית,פרטית,14,05/2022,3,כן,לא,יונדאי i30,בנזין,1591,שחור,"170,000",2011,05/2011,אוטומט,Y MOTORS,
246,ראשון לציון,פרטית,,13,,0,כן,לא,יונדאי אלנטרה (2016 ואילך),בנזין,1598,לבן פנינה,,2021,12/2021,אוטומט,אוטומקס,
247,הרצליה,פרטית,ליסינג,8,06/2022,2,לא,לא,סוזוקי SX4 קרוסאובר,בנזין,1586,לבן,"165,000",2014,06/2014,אוטומט,סיגל,
248,חיפה,פרטית,,13,03/2022,1,כן,לא,אלפא רומיאו מיטו / MITO,בנזין,1368,לבן,"10,745",2019,03/2019,אוטומט,טרייד מוביל,
249,רמת השרון,פרטית,,4,10/2022,1,כן,לא,רנו מגאן גראנד קופה,דיזל,1461,לבן פנינה,"32,000",2019,10/2019,אוטומט,יניב,
250,רעננה,פרטית,פרטית,15,08/2022,2,לא,לא,אינפיניטי G37,בנזין,3696,לבן,"113,200",2013,08/2013,אוטומט,טופ טרייד,
251,טמרה,פרטית,פרטית,13,,2,לא,לא,יונדאי i25,בנזין,1368,לבן,"179,000",2017,,אוטומט,דאניה מוטורס,
252,חדרה,ליסינג,,2,01/2023,1,לא,לא,יונדאי איוניק,בנזין,1580,לבן,"97,000",2019,01/2019,אוטומט,אופרייט,
253,כפר סבא,פרטית,,14,02/2022,1,כן,לא,טויוטה אוריס,בנזין,1598,שחור מטאלי,"163,000",2011,02/2011,אוטומט,דנאל מוטורס בעמ,
254,רעננה,פרטית,,NaN,02/2022,1,לא,לא,דאצ'יה סנדרו,בנזין,1149,לבן,"30,500",2017,02/2017,ידנית,טופ טרייד,
255,חיפה,פרטית,פרטית,15,,5,לא,לא,ב.מ.וו סדרה 6,בנזין,2979,תכלת מטאלי,"145,000",2015,,אוטומט,,
256,כפר כנא,פרטית,,1,10/2022,1,כן,לא,ב.מ.וו סדרה 5,בנזין,2998,אפור מטאלי,"4,500",2021,10/2021,אוטומט,,
257,כפר יונה,פרטית,פרטית,1,01/2022,3,לא,לא,ב.מ.וו סדרה 5,בנזין,1997,שחור מטאלי,"86,000",2017,01/2017,אוטומט,,
258,חולון,פרטית,פרטית,14,08/2022,2,לא,לא,יונדאי גטס,בנזין,1399,טורקיז,"190,000",2008,,אוטומט,,
259,הרצליה,פרטית,,9,,1,כן,כן,מיני קופר,בנזין,1596,שחור,"115,000",2004,,אוטומט,,
260,מגאר,פרטית,פרטית,15,10/2022,3,לא,לא,מאזדה 5,בנזין,1999,אפור עכבר,"208,000",2010,09/2010,אוטומט,,
261,ראשון לציון,פרטית,,14,12/2022,1,כן,לא,מרצדס B-Class Taxi,דיזל,2143,שחור,"225,000",2015,12/2015,אוטומט,,
262,הוד השרון,פרטית,פרטית,15,01/2023,2,לא,לא,ב.מ.וו סדרה 2,בנזין,2979,שחור מטאלי,"161,000",2015,01/2015,אוטומט,,
263,באר שבע,פרטית,פרטית,2,05/2022,2,לא,לא,יונדאי איוניק,בנזין,1580,אפור עכבר,"106,000",2017,05/2017,אוטומט,,
264,נתניה,פרטית,,3,08/2022,1,לא,לא,טויוטה אוריס הייבריד,בנזין,1798,לבן,"158,000",2017,08/2017,אוטומט,,
265,חיפה,פרטית,פרטית,15,,5,לא,לא,ב.מ.וו סדרה 6,בנזין,2979,תכלת מטאלי,"145,000",2015,,אוטומט,,
266,כפר כנא,פרטית,,1,10/2022,1,כן,לא,ב.מ.וו סדרה 5,בנזין,2998,אפור מטאלי,"4,500",2021,10/2021,אוטומט,,
267,כפר יונה,פרטית,פרטית,1,01/2022,3,לא,לא,ב.מ.וו סדרה 5,בנזין,1997,שחור מטאלי,"86,000",2017,01/2017,אוטומט,,
268,חולון,פרטית,פרטית,14,08/2022,2,לא,לא,יונדאי גטס,בנזין,1399,טורקיז,"190,000",2008,,אוטומט,,
269,הרצליה,פרטית,,9,,1,כן,כן,מיני קופר,בנזין,1596,שחור,"115,000",2004,,אוטומט,,
270,מגאר,פרטית,פרטית,15,10/2022,3,לא,לא,מאזדה 5,בנזין,1999,אפור עכבר,"208,000",2010,09/2010,אוטומט,,
271,ראשון לציון,פרטית,,14,12/2022,1,כן,לא,מרצדס B-Class Taxi,דיזל,2143,שחור,"225,000",2015,12/2015,אוטומט,,
272,הוד השרון,פרטית,פרטית,15,01/2023,2,לא,לא,ב.מ.וו סדרה 2,בנזין,2979,שחור מטאלי,"161,000",2015,01/2015,אוטומט,,
273,באר שבע,פרטית,פרטית,2,05/2022,2,לא,לא,יונדאי איוניק,בנזין,1580,אפור עכבר,"106,000",2017,05/2017,אוטומט,,
274,נתניה,פרטית,,3,08/2022,1,לא,לא,טויוטה אוריס הייבריד,בנזין,1798,לבן,"158,000",2017,08/2017,אוטומט,,
275,חיפה,פרטית,,15,08/2022,1,לא,לא,קיה קרניבל,בנזין,3342,שחור,"32,000",2018,08/2018,אוטומט,,
276,הוד השרון,פרטית,ליסינג,14,06/2022,2,לא,לא,סובארו אימפרזה החדשה,בנזין,1600,שחור,"135,000",2015,06/2015,אוטומט,,
277,מעלות תרשיחא,פרטית,פרטית,15,,4,לא,לא,שברולט קרוז,בנזין,1796,אפור מטאלי,"119,000",2012,01/2012,אוטומט,,
278,תל אביב יפו,פרטית,ליסינג,15,05/2022,4,לא,לא,מאזדה 6,בנזין,1999,לבן פנינה,"120,000",2010,,אוטומט,יקיר מוטורס,
279,תל אביב יפו,פרטית,פרטית,14,07/2022,2,לא,לא,פיג'ו RCZ,בנזין,1598,לבן פנינה,172,2012,07/2012,ידנית,,
280,נצרת,פרטית,ליסינג,15,10/2022,2,לא,לא,סיטרואן C4,בנזין,1598,שחור,"180,000",2011,10/2011,אוטומט,,
281,מגאר,פרטית,פרטית,11,06/2022,2,לא,לא,יונדאי i10,בנזין,1248,שחור,"117,732",2016,06/2016,אוטומט,,
